timestamp,left_x,left_y,right_x,right_y,gaze_x,gaze_y,blink
2025-05-09 02:08:35.336942,330.0,270.0,400.0,280.0,365.0,275.0,0
2025-05-09 02:08:35.354212,330.0,267.0,407.0,280.0,366.0,275.0,0
2025-05-09 02:08:35.379846,330.0,266.0,407.0,280.0,366.0,274.0,0
2025-05-09 02:08:35.419185,331.0,266.0,407.0,280.0,367.0,273.0,0
2025-05-09 02:08:35.486474,331.0,265.0,407.0,279.0,367.0,273.0,0
2025-05-09 02:08:35.517731,331.0,265.0,407.0,279.0,368.0,272.0,0
2025-05-09 02:08:35.542538,331.0,265.0,406.0,279.0,368.0,272.0,0
2025-05-09 02:08:35.576219,330.0,265.0,406.0,279.0,368.0,272.0,0
2025-05-09 02:08:35.611425,330.0,263.0,406.0,279.0,368.0,271.0,0
2025-05-09 02:08:35.647883,330.0,263.0,406.0,279.0,368.0,271.0,0
2025-05-09 02:08:35.668610,330.0,263.0,406.0,279.0,368.0,271.0,0
2025-05-09 02:08:35.697271,330.0,263.0,406.0,279.0,368.0,271.0,0
2025-05-09 02:08:35.717760,330.0,266.0,405.0,279.0,367.0,271.0,0
2025-05-09 02:08:35.745513,330.0,263.0,405.0,279.0,367.0,271.0,0
2025-05-09 02:08:35.771345,330.0,266.0,405.0,278.0,367.0,271.0,0
2025-05-09 02:08:35.835814,328.0,263.0,405.0,277.0,367.0,271.0,0
2025-05-09 02:08:35.866441,328.0,263.0,405.0,277.0,366.0,271.0,0
2025-05-09 02:08:35.900239,330.0,265.0,405.0,277.0,366.0,270.0,0
2025-05-09 02:08:35.915691,330.0,265.0,405.0,277.0,366.0,270.0,0
2025-05-09 02:08:35.948916,329.0,263.0,405.0,277.0,366.0,270.0,0
2025-05-09 02:08:35.986507,329.0,263.0,405.0,277.0,366.0,270.0,0
2025-05-09 02:08:36.011432,329.0,264.0,405.0,277.0,367.0,270.0,0
2025-05-09 02:08:36.076681,329.0,265.0,404.0,278.0,366.0,270.0,0
2025-05-09 02:08:36.103919,329.0,265.0,404.0,278.0,366.0,270.0,0
2025-05-09 02:08:36.125155,329.0,263.0,405.0,278.0,366.0,270.0,0
2025-05-09 02:08:36.153476,328.0,263.0,405.0,278.0,366.0,270.0,0
2025-05-09 02:08:36.187310,328.0,268.0,405.0,278.0,366.0,271.0,0
2025-05-09 02:08:36.253623,328.0,265.0,405.0,278.0,366.0,271.0,0
2025-05-09 02:08:36.297636,328.0,265.0,404.0,278.0,366.0,271.0,0
2025-05-09 02:08:36.329738,328.0,264.0,405.0,279.0,366.0,271.0,0
2025-05-09 02:08:36.354899,328.0,264.0,405.0,279.0,366.0,271.0,0
2025-05-09 02:08:36.371486,329.0,269.0,406.0,280.0,366.0,271.0,0
2025-05-09 02:08:36.400389,329.0,266.0,406.0,279.0,366.0,271.0,0
2025-05-09 02:08:36.429905,330.0,266.0,407.0,280.0,366.0,272.0,0
2025-05-09 02:08:36.466449,329.0,266.0,407.0,280.0,367.0,272.0,0
2025-05-09 02:08:36.489916,330.0,266.0,406.0,281.0,367.0,273.0,0
2025-05-09 02:08:36.516563,330.0,266.0,406.0,281.0,367.0,272.0,0
2025-05-09 02:08:36.538759,332.0,267.0,407.0,282.0,368.0,273.0,0
2025-05-09 02:08:36.566823,332.0,267.0,407.0,282.0,368.0,273.0,0
2025-05-09 02:08:36.603536,330.0,268.0,407.0,283.0,368.0,273.0,0
2025-05-09 02:08:36.672508,332.0,269.0,406.0,283.0,368.0,274.0,0
2025-05-09 02:08:36.697185,332.0,269.0,406.0,283.0,368.0,275.0,0
2025-05-09 02:08:36.724555,329.0,273.0,404.0,284.0,368.0,275.0,0
2025-05-09 02:08:36.739072,330.0,272.0,404.0,284.0,367.0,276.0,0
2025-05-09 02:08:36.777592,330.0,270.0,404.0,284.0,367.0,277.0,0
2025-05-09 02:08:36.820520,331.0,270.0,404.0,284.0,367.0,277.0,0
2025-05-09 02:08:36.853480,329.0,272.0,403.0,285.0,366.0,277.0,0
2025-05-09 02:08:36.910412,328.0,270.0,403.0,285.0,366.0,277.0,0
2025-05-09 02:08:36.947619,328.0,270.0,403.0,285.0,366.0,277.0,0
2025-05-09 02:08:36.970036,327.0,273.0,403.0,285.0,365.0,277.0,0
2025-05-09 02:08:36.999585,327.0,273.0,403.0,285.0,365.0,278.0,0
2025-05-09 02:08:37.018905,326.0,273.0,401.0,285.0,364.0,278.0,0
